stage,epoch,train_loss,val_loss,val_roc_auc,val_accuracy,lr
head,1,0.7141970258798064,0.7081966797510783,0.5919761520308037,0.5722222222222222,0.001
head,2,0.6910135201563957,0.7040294302834404,0.5858899515588126,0.55,0.001
head,3,0.6749890642320395,0.7038662221696642,0.5824121227176748,0.5611111111111111,0.001
head,4,0.6614949386194703,0.7047999567455716,0.5824121227176748,0.5888888888888889,0.001
layer4_finetune,5,0.682801177964451,0.7013558149337769,0.5930940255868835,0.55,1e-05
layer4_finetune,6,0.6235994962030769,0.6934540298249986,0.6363184697553099,0.6111111111111112,1e-05
layer4_finetune,7,0.5548377292537326,0.7279554327329,0.6411625884983232,0.6055555555555555,1e-05
layer4_finetune,8,0.5054905951079814,0.7300752758979797,0.6607874798161719,0.6277777777777778,1e-05
layer4_finetune,9,0.46471497668866085,0.7019368608792623,0.6778039995031674,0.6277777777777778,1e-05
layer4_finetune,10,0.4314749563568326,0.8042160464657677,0.6739535461433362,0.6277777777777778,1e-05
layer4_finetune,11,0.3998038088220511,0.8694308910104963,0.6896037759284562,0.65,1e-05
layer4_finetune,12,0.34827825327808803,0.7799394812848833,0.6992920134144825,0.65,1e-05
layer4_finetune,13,0.3230354528516162,0.8852002561092377,0.6918395230406161,0.6444444444444445,1e-05
layer4_finetune,14,0.25888140348595284,1.035542545053694,0.697428890821016,0.6555555555555556,1e-05
layer4_finetune,15,0.2485512197443012,1.0383556617630854,0.6845112408396472,0.6444444444444445,5e-06
layer4_finetune,16,0.19705532906624842,1.0836862981319428,0.6913426903490251,0.65,5e-06
layer4_finetune,17,0.176980323529493,1.0227484199735852,0.6903490249658427,0.6555555555555556,5e-06
